id,title,search_word,condition,listing_type_id,category_id,domain_id,price,available_quantity,shipping.free_shipping,seller.id,seller.nickname,BRAND,GTIN,WEIGHT
MLA1438429679,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,112799.0,500,True,310173310,GLOBAL UP,Google,810037290042,1 kg
MLA1747863456,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,122771.0,250,True,3135574,MAGAZZINO ALMACEN,Google,810037290042,0.063 kg
MLA1862361768,Google Chromecast 4 Generación Con Google Tv Hd Blanco Con Fuente Y Pilas Incluidas,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,126730.0,1,True,680515,ALTAVISTA COMPUTACION,Google,810037290042,112 g
MLA1642551802,Google Chromecast 3 Full Hd Media Streaming Negro,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,114999.0,1,True,1634953268,EMOODMARKET,Google,4805726470214,40 g
MLA1403394039,Google Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,159999.0,1,True,167338436,NOVAINFOEXPRESS,Google,193575007243,0.3 g
MLA1400503849,Chromecast With Google Tv De Voz 4ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,167999.0,1,True,1250965884,DIPROSTORE,Google,193575007229,0.3 g
MLA1855359766,Chromecast With Google Tv De Voz 4 Generación 4k 8gb Snow Con 2gb De Memoria Ram,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,129099.0,500,True,131846678,DMAKER SA,Google,193575007229,
MLA767075653,Google Chromecast 2 Gen Smart Tv Hdmi Netflix Bulk Sin Caja,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,54900.0,1,True,82274172,ELECTROTECHBUENOSAIRES,Google,,0.04 kg
MLA1841257264,Google Chromecast Ultra 4k Negro,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,170549.0,200,True,1803908857,EKATECNO,Google,811571018284,47 g
MLA1181132861,Google Chromecast 3 Smart Tv Hdmi Usb ,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,68523.0,1,True,213074722,MATROX-DIGITAL,Google,842776106131,1.4 g
MLA1425375959,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hd,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,99999.0,50,True,148613909,VYSECOMAR,Google,,0.063 kg
MLA1324508604,Chromecast Google Ga03131 Tv Hd 8gb Blanco Control,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,114990.0,150,True,61852079,INTEGRADOS ARGENTINOS,Google,,0.055 kg
MLA1428090647,Google Chromecast 3ra Generación Streaming Hdmi Celular Color Negro Tipo De Control Remoto Negro,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,115000.0,1,True,204818964,WESTECH2016,Google,193575003962,1.4 g
MLA1860724168,Google Chromecast 2 Gen Smart Tv Hdmi Netflix Outlet,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,74900.0,1,True,82274172,ELECTROTECHBUENOSAIRES,Google,,0.04 kg
MLA1858473044,Google Chromecast 4 Generación Con Google Tv Hd Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,104000.0,1,True,255083266,DSMAX TECH,Google,,112 g
MLA1382825071,Google Chromecast Ultra 4k Negro,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,80000.0,50,True,512225720,BRIMMERST,Google,811571018314,47 g
MLA1506087550,Android Tv Chromecast Ga00439-br Google,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,70000.0,1,True,32331880,CLUBDIGITALSTORE.COM,Google,,1.4 g
MLA1439997091,Google Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sunrise Con 2gb De Memoria Ram,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,177000.0,1,True,1443311053,FULLSTOREONLINE,Google,193575007236,0.3 g
MLA1329170115,Google Chromecast Hd 1080p Netflix Apps Control Con Fuente,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,103346.0,1,True,77566478,ELECTRONICAJCK.COM,Google,,1 kg
MLA1367781893,Chromecast 4ta Generación Google Tv Hd Blanco Control Remoto,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,123999.0,1,True,310646112,OUTTEC,Google,810037290042,0.063 kg
MLA1860723714,Google Chromecast 3 Negro,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,85846.0,1,True,77842811,SHIFTDIGITAL,Google,842776106230,0.032 kg
MLA1817995542,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,118811.0,1,True,1821614967,GLOBALGROUPINTERNATIONAL,Google,810037290042,1 kg
MLA1418308795,Google Chromecast 4ta Genereación Con Google Tv Hd - Blanco,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,121498.0,1,True,579983671,IWANT..,Google,,0.04 kg
MLA914388160,Google Chromecast 4k Android Tv Control De Voz 2gb Ram,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,128500.0,1,True,69526727,ELECTRONIC-MARKET,Google,,0.3 g
MLA1439577131,Google Chromecast 2 Gen Smart Tv Hdmi Netflix Outlet,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,70900.0,1,True,82274172,ELECTROTECHBUENOSAIRES,Google,,0.04 kg
